"SECTOR","STATE","STATE_FIPS","POLLUTANT","POLLUTANT TYPE","EMISSIONS","UNIT OF MEASURE"
"Mobile - Non-Road Equipment - Other","NJ","34","Methane","GHG","382.6124659539091","TON"
"Mobile - Aircraft","NJ","34","Sulfur Dioxide","CAP","375.37083246801","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NJ","34","Carbon Monoxide","CAP","375.2935","TON"
"Fuel Comb - Electric Generation - Natural Gas","CT","09","Carbon Monoxide","CAP","350.4198723962","TON"
"Fires - Wildfires","NJ","34","Methane","GHG","345.772647","TON"
"Fuel Comb - Residential - Oil","NJ","34","Carbon Monoxide","CAP","342.090010005","TON"
"Fuel Comb - Residential - Wood","NJ","34","Ammonia","CAP","338.5011520045777217","TON"
"Fuel Comb - Electric Generation - Natural Gas","NY","36","Ammonia","CAP","334.48102025","TON"
"Waste Disposal","NY","36","Lead","CAP/HAP","330.0882","LB"
"Fuel Comb - Residential - Other","NJ","34","Nitrogen Oxides","CAP","329.280023","TON"
"Waste Disposal","NJ","34","Lead","CAP/HAP","329","LB"
"Waste Disposal","NJ","34","Ammonia","CAP","324.128333","TON"
"Fuel Comb - Comm/Institutional - Biomass","NY","36","Nitrogen Oxides","CAP","318.92087778","TON"
"Fuel Comb - Electric Generation - Other","NY","36","Volatile Organic Compounds","CAP","313.438028","TON"
"Waste Disposal","CT","09","Sulfur Dioxide","CAP","310.20878993","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NJ","34","Volatile Organic Compounds","CAP","308.4427621","TON"
"Mobile - Aircraft","CT","09","Nitrogen Oxides","CAP","307.7401896042","TON"
"Waste Disposal","CT","09","Ammonia","CAP","305.50570768","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NJ","34","Nitrogen Oxides","CAP","305.478121","TON"
"Fuel Comb - Electric Generation - Other","NY","36","Sulfur Dioxide","CAP","300.6008875","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","CT","09","Volatile Organic Compounds","CAP","296.131705387","TON"
"Mobile - Locomotives","NJ","34","Volatile Organic Compounds","CAP","291.151586773","TON"
"Fuel Comb - Comm/Institutional - Other","NJ","34","Methane","GHG","287.4371","TON"
"Fires - Prescribed Fires","NJ","34","Ammonia","CAP","278.967991","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NY","36","Methane","GHG","278.55493567879","TON"
"Fuel Comb - Comm/Institutional - Biomass","CT","09","Carbon Monoxide","CAP","270.551893","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","CT","09","Volatile Organic Compounds","CAP","267.919816","TON"
"Fires - Prescribed Fires","NJ","34","Nitrogen Oxides","CAP","265.166018","TON"
"Mobile - On-Road non-Diesel Light Duty Vehicles","CT","09","Sulfur Dioxide","CAP","264.60325875","TON"
"Fires - Agricultural Field Burning","NJ","34","Volatile Organic Compounds","CAP","261.87750114","TON"
"Fuel Comb - Residential - Wood","NY","36","Sulfur Dioxide","CAP","260.5178888710816810075","TON"
"Mobile - Commercial Marine Vessels","CT","09","Carbon Monoxide","CAP","257.58548975","TON"
"Fuel Comb - Electric Generation - Coal","NY","36","Lead","CAP/HAP","251.377073","LB"
"Fuel Comb - Residential - Oil","NY","36","Ammonia","CAP","250.672798163","TON"
"Mobile - Non-Road Equipment - Other","NJ","34","Volatile Organic Compounds","CAP","234.276699243645","TON"
"Commercial Cooking","CT","09","Volatile Organic Compounds","CAP","230.25701892","TON"
"Fuel Comb - Electric Generation - Coal","CT","09","Sulfur Dioxide","CAP","227.654","TON"
"Fuel Comb - Residential - Other","NY","36","Carbon Monoxide","CAP","227.350198","TON"
"Fires - Wildfires","NY","36","Methane","GHG","225.872221","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NJ","34","Methane","GHG","223.8896615856","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NY","36","Sulfur Dioxide","CAP","220.34472686","TON"
"Fuel Comb - Comm/Institutional - Other","CT","09","Nitrogen Oxides","CAP","216.69227455","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","CT","09","Nitrogen Oxides","CAP","216.31808979164","TON"
"Fuel Comb - Residential - Natural Gas","NY","36","Lead","CAP/HAP","215.99998298","LB"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NY","36","Ammonia","CAP","215.6372030939","TON"
"Bulk Gasoline Terminals","CT","09","Volatile Organic Compounds","CAP","209.095436116","TON"
"Fuel Comb - Electric Generation - Natural Gas","CT","09","Ammonia","CAP","208.1005131007751946","TON"
"Fires - Wildfires","CT","09","Volatile Organic Compounds","CAP","205.362747","TON"
"Fuel Comb - Comm/Institutional - Oil","CT","09","Carbon Monoxide","CAP","197.731133662","TON"
"Fires - Prescribed Fires","CT","09","Volatile Organic Compounds","CAP","192.253188","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","CT","09","Volatile Organic Compounds","CAP","191.91902715245","TON"
"Fuel Comb - Residential - Wood","CT","09","Ammonia","CAP","191.613861795","TON"
"Fuel Comb - Comm/Institutional - Other","NJ","34","Carbon Monoxide","CAP","188.4575492","TON"
"Fuel Comb - Electric Generation - Other","NY","36","Lead","CAP/HAP","188.3738","LB"
"Fuel Comb - Residential - Other","NJ","34","Carbon Monoxide","CAP","186.984008","TON"
"Mobile - Commercial Marine Vessels","NJ","34","Sulfur Dioxide","CAP","182.23528413","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NJ","34","Methane","GHG","181.9374","TON"
"Fuel Comb - Electric Generation - Coal","NY","36","Carbon Monoxide","CAP","181.64205","TON"
"Fuel Comb - Comm/Institutional - Biomass","NJ","34","Nitrogen Oxides","CAP","180.5629381","TON"
"Fuel Comb - Electric Generation - Other","NJ","34","Volatile Organic Compounds","CAP","179.0513","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NJ","34","Carbon Monoxide","CAP","178.185828","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NY","36","Ammonia","CAP","171.27785591","TON"
"Fuel Comb - Electric Generation - Oil","CT","09","Nitrogen Oxides","CAP","167.8849635986","TON"
"Fuel Comb - Electric Generation - Coal","CT","09","Nitrogen Oxides","CAP","167.6","TON"
"Mobile - Non-Road Equipment - Other","CT","09","Methane","GHG","167.473100901","TON"
"Fuel Comb - Comm/Institutional - Other","NJ","34","Nitrogen Oxides","CAP","167.0903996","TON"
"Fuel Comb - Residential - Oil","CT","09","Ammonia","CAP","165.53324901","TON"
"Fuel Comb - Electric Generation - Oil","NY","36","Carbon Monoxide","CAP","161.4687842","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NJ","34","Lead","CAP/HAP","161.4","LB"
"Fuel Comb - Electric Generation - Oil","CT","09","Sulfur Dioxide","CAP","161.29048795802","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NY","36","Lead","CAP/HAP","161.2471978708","LB"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NJ","34","Methane","GHG","160.2958","TON"
"Fuel Comb - Electric Generation - Other","NJ","34","Sulfur Dioxide","CAP","159.2183","TON"
"Fires - Agricultural Field Burning","NY","36","Carbon Monoxide","CAP","156.79","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NY","36","Volatile Organic Compounds","CAP","156.282364274","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NY","36","Volatile Organic Compounds","CAP","155.0379485","TON"
"Fuel Comb - Comm/Institutional - Oil","NJ","34","Carbon Monoxide","CAP","154.650446487","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NY","36","Carbon Monoxide","CAP","150.76498892","TON"
"Fuel Comb - Comm/Institutional - Oil","CT","09","Sulfur Dioxide","CAP","150.281479382716","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NY","36","Lead","CAP/HAP","149.022787087248","LB"
"Mobile - Aircraft","CT","09","Volatile Organic Compounds","CAP","146.8471763115015","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NJ","34","Nitrogen Oxides","CAP","146.037819986","TON"
"Fuel Comb - Electric Generation - Natural Gas","NJ","34","Volatile Organic Compounds","CAP","145.2848","TON"
"Fuel Comb - Residential - Other","CT","09","Carbon Monoxide","CAP","145.235988","TON"
"Mobile - Commercial Marine Vessels","NY","36","Sulfur Dioxide","CAP","139.10678525","TON"
"Fires - Prescribed Fires","NJ","34","Sulfur Dioxide","CAP","137.7651222","TON"
"Fuel Comb - Residential - Wood","NJ","34","Sulfur Dioxide","CAP","136.7577716440086712","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","CT","09","Volatile Organic Compounds","CAP","136.586951593","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NJ","34","Volatile Organic Compounds","CAP","134.0162","TON"
"Fires - Prescribed Fires","NY","36","Ammonia","CAP","134.0149396","TON"
"Fuel Comb - Residential - Natural Gas","CT","09","Volatile Organic Compounds","CAP","133.185247","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NY","36","Sulfur Dioxide","CAP","132.52309648071","TON"
"Mobile - Locomotives","CT","09","Carbon Monoxide","CAP","130.132802","TON"
"Fires - Agricultural Field Burning","NJ","34","Nitrogen Oxides","CAP","129.68687733","TON"
"Fuel Comb - Residential - Natural Gas","NY","36","Sulfur Dioxide","CAP","129.599994314","TON"
"Fires - Prescribed Fires","NY","36","Nitrogen Oxides","CAP","129.4389278","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NJ","34","Ammonia","CAP","123.4897551012","TON"
"Fuel Comb - Comm/Institutional - Other","CT","09","Carbon Monoxide","CAP","122.2229001","TON"
"Fuel Comb - Residential - Oil","NJ","34","Lead","CAP/HAP","119.388961271182207319346","LB"
"Fuel Comb - Electric Generation - Oil","NJ","34","Nitrogen Oxides","CAP","118.1391","TON"
"Fuel Comb - Residential - Oil","CT","09","Volatile Organic Compounds","CAP","118.022104004","TON"
"Mobile - Non-Road Equipment - Diesel","NY","36","Methane","GHG","117.067915493811","TON"
"Fires - Wildfires","NJ","34","Ammonia","CAP","116.826568","TON"
"Solvent - Dry Cleaning","NY","36","Volatile Organic Compounds","CAP","114.29099999","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","CT","09","Volatile Organic Compounds","CAP","113.728548943","TON"
"Mobile - Non-Road Equipment - Other","CT","09","Volatile Organic Compounds","CAP","113.093788684","TON"
"Fuel Comb - Electric Generation - Natural Gas","NJ","34","Sulfur Dioxide","CAP","112.0689","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NY","36","Sulfur Dioxide","CAP","109.022189741","TON"
"Fuel Comb - Residential - Oil","NY","36","Volatile Organic Compounds","CAP","106.5359410925","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NY","36","Nitrogen Oxides","CAP","104.861778687","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NY","36","Sulfur Dioxide","CAP","104.0685798235","TON"
"Fuel Comb - Comm/Institutional - Biomass","CT","09","Nitrogen Oxides","CAP","99.202359","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NJ","34","Lead","CAP/HAP","92.5079998894539965086","LB"
"Fuel Comb - Residential - Wood","CT","09","Sulfur Dioxide","CAP","91.804565524","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","CT","09","Methane","GHG","88.870691493","TON"
"Fuel Comb - Electric Generation - Oil","NJ","34","Lead","CAP/HAP","86.86615","LB"
"Mobile - On-Road Diesel Light Duty Vehicles","NY","36","Methane","GHG","84.005840053","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NY","36","Lead","CAP/HAP","83.99227232","LB"
"Mobile - On-Road Diesel Light Duty Vehicles","NJ","34","Methane","GHG","82.40705252","TON"
"Fires - Wildfires","NJ","34","Nitrogen Oxides","CAP","80.435537","TON"
"Fuel Comb - Electric Generation - Biomass","CT","09","Nitrogen Oxides","CAP","79.5486","TON"
"Fuel Comb - Comm/Institutional - Oil","NY","36","Carbon Monoxide","CAP","75.5763709165","TON"
"Fires - Wildfires","NY","36","Ammonia","CAP","75.560505","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NY","36","Ammonia","CAP","72.229067386","TON"
"Fuel Comb - Electric Generation - Other","NY","36","Methane","GHG","70.19564","TON"
"Mobile - Commercial Marine Vessels","CT","09","Volatile Organic Compounds","CAP","69.67074971","TON"
"Fuel Comb - Residential - Oil","NJ","34","Ammonia","CAP","68.3938511027","TON"
"Fuel Comb - Electric Generation - Natural Gas","NY","36","Lead","CAP/HAP","68.029556","LB"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NY","36","Lead","CAP/HAP","67.846701972","LB"
"Fires - Prescribed Fires","NY","36","Sulfur Dioxide","CAP","66.8018535","TON"
"Fuel Comb - Residential - Oil","NY","36","Sulfur Dioxide","CAP","66.7416338545","TON"
"Fuel Comb - Residential - Natural Gas","NJ","34","Sulfur Dioxide","CAP","66.4824013","TON"
"Fires - Wildfires","NY","36","Nitrogen Oxides","CAP","66.305571","TON"
"Fuel Comb - Electric Generation - Oil","NJ","34","Carbon Monoxide","CAP","65.5886","TON"
"Fuel Comb - Electric Generation - Natural Gas","CT","09","Volatile Organic Compounds","CAP","65.112660903","TON"
"Mobile - Non-Road Equipment - Diesel","NJ","34","Methane","GHG","64.7713375659","TON"
"Fuel Comb - Comm/Institutional - Other","NY","36","Sulfur Dioxide","CAP","64.2580074117","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NJ","34","Sulfur Dioxide","CAP","62.8713973098","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","CT","09","Carbon Monoxide","CAP","61.7825275946","TON"
"Mobile - Commercial Marine Vessels","NY","36","Lead","CAP/HAP","61.63939090161","LB"
"Mobile - Commercial Marine Vessels","NJ","34","Lead","CAP/HAP","61.285923421225","LB"
"Fuel Comb - Comm/Institutional - Natural Gas","NJ","34","Sulfur Dioxide","CAP","59.2764983","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NY","36","Methane","GHG","56.8461372","TON"
"Mobile - Non-Road Equipment - Gasoline","NY","36","Sulfur Dioxide","CAP","56.66802181596152","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NY","36","Ammonia","CAP","55.668458739","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","NJ","34","Ammonia","CAP","54.6568215","TON"
"Fuel Comb - Electric Generation - Oil","NY","36","Lead","CAP/HAP","54.371104","LB"
"Fuel Comb - Residential - Natural Gas","NJ","34","Ammonia","CAP","54.2939593","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NY","36","Sulfur Dioxide","CAP","53.986025369","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","CT","09","Sulfur Dioxide","CAP","52.436528","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NJ","34","Carbon Monoxide","CAP","52.2122800034","TON"
"Fires - Agricultural Field Burning","NJ","34","Sulfur Dioxide","CAP","51.25492545","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NY","36","Ammonia","CAP","50.62065957853","TON"
"Fuel Comb - Residential - Oil","NJ","34","Volatile Organic Compounds","CAP","48.782033901","TON"
"Mobile - Locomotives","CT","09","Volatile Organic Compounds","CAP","48.6650393","TON"
"Fires - Wildfires","NJ","34","Sulfur Dioxide","CAP","48.4554","TON"
"Mobile - Aircraft","CT","09","Sulfur Dioxide","CAP","45.28366866467","TON"
"Fuel Comb - Comm/Institutional - Oil","CT","09","Volatile Organic Compounds","CAP","44.4102183491","TON"
"Fuel Comb - Electric Generation - Oil","NY","36","Ammonia","CAP","44.37708","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NJ","34","Sulfur Dioxide","CAP","43.925","TON"
"Fuel Comb - Electric Generation - Coal","NY","36","Volatile Organic Compounds","CAP","43.8785","TON"
"Fires - Wildfires","CT","09","Methane","GHG","42.871036","TON"
"Fuel Comb - Comm/Institutional - Oil","CT","09","Lead","CAP/HAP","42.34229498408","LB"
"Fuel Comb - Comm/Institutional - Biomass","NY","36","Sulfur Dioxide","CAP","41.74670164","TON"
"Fires - Prescribed Fires","CT","09","Methane","GHG","40.699269","TON"
"Mobile - Non-Road Equipment - Gasoline","NY","36","Ammonia","CAP","40.49408206388884","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NY","36","Nitrous Oxide","GHG","39.57918479017","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NY","36","Lead","CAP/HAP","39.339109413968","LB"
"Fuel Comb - Electric Generation - Biomass","CT","09","Carbon Monoxide","CAP","38.8791","TON"
"Fuel Comb - Electric Generation - Other","NJ","34","Lead","CAP/HAP","38.2","LB"
"Fuel Comb - Electric Generation - Biomass","NY","36","Carbon Monoxide","CAP","38.1668","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","CT","09","Ammonia","CAP","37.69432315","TON"
"Mobile - Non-Road Equipment - Diesel","NY","36","Sulfur Dioxide","CAP","37.003817930511","TON"
"Mobile - Non-Road Equipment - Diesel","NY","36","Ammonia","CAP","36.86472452349","TON"
"Fuel Comb - Comm/Institutional - Other","NJ","34","Volatile Organic Compounds","CAP","36.25295983","TON"
"Fuel Comb - Electric Generation - Oil","NY","36","Volatile Organic Compounds","CAP","36.07633255","TON"
"Fuel Comb - Comm/Institutional - Oil","NJ","34","Volatile Organic Compounds","CAP","35.99520419023","TON"
"Fuel Comb - Residential - Other","NY","36","Volatile Organic Compounds","CAP","35.8974001","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","CT","09","Volatile Organic Compounds","CAP","35.6568368","TON"
"Fires - Wildfires","NY","36","Sulfur Dioxide","CAP","35.64951","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NY","36","Carbon Monoxide","CAP","35.107612304","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NJ","34","Sulfur Dioxide","CAP","34.7134208","TON"
"Fuel Comb - Electric Generation - Coal","CT","09","Carbon Monoxide","CAP","34.35909","TON"
"Fuel Comb - Electric Generation - Natural Gas","CT","09","Sulfur Dioxide","CAP","34.0331979788","TON"
"Mobile - Non-Road Equipment - Other","NY","36","Sulfur Dioxide","CAP","33.392577388858768","TON"
"Fuel Comb - Electric Generation - Oil","CT","09","Carbon Monoxide","CAP","32.7924537459","TON"
"Fires - Agricultural Field Burning","NJ","34","Ammonia","CAP","30.99134958","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","CT","09","Sulfur Dioxide","CAP","30.865306856165","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NY","36","Lead","CAP/HAP","29.4024","LB"
"Fuel Comb - Comm/Institutional - Other","NY","36","Volatile Organic Compounds","CAP","28.307530737","TON"
"Mobile - Non-Road Equipment - Gasoline","NJ","34","Sulfur Dioxide","CAP","27.9480790997162","TON"
"Fuel Comb - Electric Generation - Biomass","NY","36","Nitrogen Oxides","CAP","27.707","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NY","36","Ammonia","CAP","27.257331846","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NY","36","Methane","GHG","27.20317105","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NY","36","Sulfur Dioxide","CAP","26.792950745575","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NJ","34","Nitrous Oxide","GHG","26.5809663544","TON"
"Mobile - Non-Road Equipment - Diesel","NJ","34","Ammonia","CAP","25.629729805293","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","CT","09","Methane","GHG","25.4066276","TON"
"Mobile - Non-Road Equipment - Diesel","NJ","34","Sulfur Dioxide","CAP","24.7385988277882","TON"
"Fuel Comb - Comm/Institutional - Biomass","NY","36","Volatile Organic Compounds","CAP","24.594005604","TON"
"Mobile - Non-Road Equipment - Diesel","CT","09","Methane","GHG","24.5086141873","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NJ","34","Ammonia","CAP","24.14001626592","TON"
"Solvent - Dry Cleaning","NJ","34","Volatile Organic Compounds","CAP","24.1199","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","CT","09","Lead","CAP/HAP","23.85710555","LB"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NY","36","Nitrous Oxide","GHG","23.73058233791","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NJ","34","Volatile Organic Compounds","CAP","23.6051265","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NJ","34","Sulfur Dioxide","CAP","23.19120871","TON"
"Fuel Comb - Comm/Institutional - Oil","NY","36","Lead","CAP/HAP","23.10353932714","LB"
"Mobile - On-Road Diesel Light Duty Vehicles","NJ","34","Ammonia","CAP","22.73921621","TON"
"Solvent - Dry Cleaning","CT","09","Volatile Organic Compounds","CAP","22.3278","TON"
"Fires - Agricultural Field Burning","NY","36","Volatile Organic Compounds","CAP","21.852","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NJ","34","Volatile Organic Compounds","CAP","21.84758008","TON"
"Fires - Agricultural Field Burning","NY","36","Ammonia","CAP","21.542","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","CT","09","Ammonia","CAP","21.2150328351","TON"
"Fuel Comb - Comm/Institutional - Biomass","NJ","34","Sulfur Dioxide","CAP","20.51851713","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NY","36","Ammonia","CAP","20.1819877122","TON"
"Fuel Comb - Residential - Other","CT","09","Volatile Organic Compounds","CAP","19.938101","TON"
"Mobile - Non-Road Equipment - Gasoline","NJ","34","Ammonia","CAP","19.7269036360376","TON"
"Fuel Comb - Comm/Institutional - Oil","NJ","34","Ammonia","CAP","19.4610000166","TON"
"Fuel Comb - Electric Generation - Coal","NJ","34","Lead","CAP/HAP","19.1766041","LB"
"Fuel Comb - Comm/Institutional - Natural Gas","CT","09","Sulfur Dioxide","CAP","18.71693054","TON"
"Fuel Comb - Electric Generation - Natural Gas","NJ","34","Lead","CAP/HAP","18.6","LB"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","NJ","34","Ammonia","CAP","18.1955","TON"
"Fuel Comb - Comm/Institutional - Natural Gas","CT","09","Ammonia","CAP","18.1723056445","TON"
"Mobile - Non-Road Equipment - Other","NJ","34","Sulfur Dioxide","CAP","16.586961830530141","TON"
"Fires - Prescribed Fires","CT","09","Nitrogen Oxides","CAP","16.32134","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NJ","34","Volatile Organic Compounds","CAP","16.08460320006","TON"
"Fuel Comb - Comm/Institutional - Oil","NY","36","Volatile Organic Compounds","CAP","15.879941948656","TON"
"Fuel Comb - Electric Generation - Oil","CT","09","Lead","CAP/HAP","14.8446480684","LB"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","CT","09","Ammonia","CAP","14.6822267","TON"
"Fuel Comb - Residential - Oil","NJ","34","Sulfur Dioxide","CAP","14.5730338007","TON"
"Fuel Comb - Residential - Natural Gas","CT","09","Sulfur Dioxide","CAP","14.5293009","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NJ","34","Lead","CAP/HAP","14.450162706557261193819","LB"
"Fuel Comb - Comm/Institutional - Oil","CT","09","Ammonia","CAP","14.422417469","TON"
"Fires - Wildfires","CT","09","Ammonia","CAP","14.286204","TON"
"Fuel Comb - Comm/Institutional - Biomass","NJ","34","Volatile Organic Compounds","CAP","13.95259035","TON"
"Fires - Wildfires","CT","09","Nitrogen Oxides","CAP","13.594235","TON"
"Fires - Prescribed Fires","CT","09","Ammonia","CAP","13.37413","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","NJ","34","Sulfur Dioxide","CAP","13.34824061516","TON"
"Fuel Comb - Electric Generation - Oil","NJ","34","Sulfur Dioxide","CAP","13.1959","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","CT","09","Sulfur Dioxide","CAP","12.9301119072","TON"
"Mobile - On-Road Diesel Heavy Duty Vehicles","NJ","34","Nitrous Oxide","GHG","12.0351823082","TON"
"Fuel Comb - Electric Generation - Coal","NJ","34","Volatile Organic Compounds","CAP","11.68","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","NJ","34","Sulfur Dioxide","CAP","11.41162677213","TON"
"Fuel Comb - Industrial Boilers, ICEs - Coal","NY","36","Volatile Organic Compounds","CAP","11.3317798892","TON"
"Gas Stations","NY","36","Lead","CAP/HAP","11.292421904952","LB"
"Fuel Comb - Comm/Institutional - Biomass","CT","09","Sulfur Dioxide","CAP","11.2729964","TON"
"Mobile - Commercial Marine Vessels","CT","09","Lead","CAP/HAP","11.10091839848","LB"
"Mobile - On-Road Diesel Heavy Duty Vehicles","CT","09","Sulfur Dioxide","CAP","10.8425255382","TON"
"Fuel Comb - Comm/Institutional - Other","NJ","34","Sulfur Dioxide","CAP","10.839319417","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","CT","09","Methane","GHG","10.05744926896","TON"
"Mobile - Non-Road Equipment - Gasoline","CT","09","Sulfur Dioxide","CAP","9.7629462296679","TON"
"Fuel Comb - Industrial Boilers, ICEs - Biomass","NJ","34","Ammonia","CAP","9.71975867","TON"
"Fuel Comb - Industrial Boilers, ICEs - Natural Gas","CT","09","Lead","CAP/HAP","9.40860478","LB"
"Fuel Comb - Comm/Institutional - Biomass","NY","36","Lead","CAP/HAP","9.1019","LB"
"Fuel Comb - Electric Generation - Coal","NY","36","Ammonia","CAP","8.433755","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","CT","09","Volatile Organic Compounds","CAP","8.3969962798","TON"
"Mobile - On-Road non-Diesel Heavy Duty Vehicles","CT","09","Nitrous Oxide","GHG","8.04550567904","TON"
"Fuel Comb - Comm/Institutional - Other","CT","09","Volatile Organic Compounds","CAP","8.017049605","TON"
"Fuel Comb - Comm/Institutional - Oil","NJ","34","Sulfur Dioxide","CAP","8.01540976863","TON"
"Mobile - Locomotives","NY","36","Sulfur Dioxide","CAP","7.82306756722","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","NY","36","Sulfur Dioxide","CAP","7.7196642528","TON"
"Fires - Prescribed Fires","CT","09","Sulfur Dioxide","CAP","7.69376","TON"
"Fuel Comb - Comm/Institutional - Biomass","CT","09","Volatile Organic Compounds","CAP","7.6656366","TON"
"Fuel Comb - Comm/Institutional - Oil","NY","36","Ammonia","CAP","7.5186689576273","TON"
"Mobile - Non-Road Equipment - Gasoline","CT","09","Ammonia","CAP","7.4718729024343","TON"
"Fuel Comb - Industrial Boilers, ICEs - Oil","CT","09","Lead","CAP/HAP","7.46989467","LB"
"Mobile - Non-Road Equipment - Diesel","CT","09","Sulfur Dioxide","CAP","7.341581092826","TON"
"Mobile - Commercial Marine Vessels","CT","09","Sulfur Dioxide","CAP","7.33553046","TON"
"Mobile - Non-Road Equipment - Diesel","CT","09","Ammonia","CAP","7.3089125212","TON"
"Mobile - On-Road Diesel Light Duty Vehicles","CT","09","Ammonia","CAP","7.28022341","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NJ","34","Lead","CAP/HAP","7.2","LB"
"Fuel Comb - Electric Generation - Natural Gas","NJ","34","Methane","GHG","7.1609","TON"
"Fires - Wildfires","CT","09","Sulfur Dioxide","CAP","7.059482","TON"
"Mobile - Locomotives","NY","36","Ammonia","CAP","6.94088131162","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","CT","09","Nitrogen Oxides","CAP","6.86173737","TON"
"Fuel Comb - Comm/Institutional - Biomass","NY","36","Ammonia","CAP","6.7675196961","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NJ","34","Ammonia","CAP","6.43244994","TON"
"Fuel Comb - Industrial Boilers, ICEs - Other","NJ","34","Methane","GHG","6.032","TON"
